Food_ID,Name,C_Type,Veg_Non,Describe
1,shack burger,Healthy Food,veg,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves"
2,shroom burger,Healthy Food,non-veg,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts"
3,smoke buger,Snack,veg,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder"
4,stack shack burger,Healthy Food,veg,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts"
5,cheese burger,Dessert,veg,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs"
6,shack attack,Japanese,veg,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chili, barley, butter, white pepper, light soya, salt"
7,hamburger,Dessert,veg,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar"
8,chick n chack burger,Healthy Food,non-veg,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive"
9,Smokin' cheese burger,Healthy Food,veg,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes"
10,mighty n' cheesy burger,Healthy Food,veg,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper"
11,cheesy stuff,Healthy Food,veg,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil"
12,cream n' cheese buns,Snack,non-veg,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer"
13,cheesey,Healthy Food,veg,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds"
14,cheese hotdog,Healthy Food,veg,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspberry, peach fruit slices, almonds"
15,ny style hotdog,Indian,veg,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut"
16,shack-cago hd hotdog,Indian,veg,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter"
17,coney island hotdog,Snack,veg,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water"
